id,talep_metni,birim,modul,surec_talep_tipi,oncelik
370,Toplantı öncesi Depo'un özel olarak temizlenmesini istiyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Yüksek
371,"masaüstü bilgisayarım mavi ekran hatası veriyor, acil destek lazım.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Yüksek
372,Hakan Bey için vejetaryen menü talep ediyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
373,3. kat paylaşım klasörüne erişim yetkisi rica ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
374,Adobe Acrobat güncel sürümüne geçmek istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
375,Burak Bey'e MS Teams için kullanıcı hesabı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
376,geçen hafta için ziyaretçi girişi talep ediyorum.,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Orta
377,Yeni başlayanlar için oryantasyon eğitimi planlanmasını istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
378,"Merve Hanım olarak internete bağlanamıyorum, acil destek gerekiyor.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
379,"3. kat genelinde internet erişimi yok, herkes şikayetçi.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
380,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
381,Emre Bey için ofis koltuğu değişimi rica ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
382,Yemeklerin kalitesiyle ilgili bir şikayetim var.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Düşük
383,Departmanımıza bir uzman alımı için talep oluşturuyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
384,"Ankara ofisi genelinde internet erişimi yok, herkes şikayetçi.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
385,bu ay içinde saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
386,Saha çalışması için bir araca ihtiyacımız var.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Düşük
387,"Tavan sızıntısı var, acil kontrol edilmesi gerekiyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
388,Caner Bey için bina giriş kartı talep ediyorum.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Orta
389,Ana bina için ek bir monitör talep ediyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Orta
390,dün saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
391,Gökhan Bey için referans kontrolü yapılmasını rica ediyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
392,Mükremin Bey'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
393,Ekibimiz için yeni bir pozisyon açılmasını talep ediyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
394,2. kat toplantı salonu için kırtasiye malzemesi talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
395,Misafir Wi-Fi ağına erişim talep ediyorum.,Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Orta
396,"Ağ yazıcısına bağlanamıyorum, kurulum desteği rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Orta
397,Saha çalışması için bir araca ihtiyacımız var.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Düşük
398,Kartuş değişimi için talep açmak istiyorum.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Düşük
399,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Düşük
400,"Yazıcı kağıdı ve kalem stoku bitti, tedarik rica ederim.",İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
401,Görüşme yapılan adaylar için geri bildirim formu talep ediyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Orta
402,"Tavan sızıntısı var, acil kontrol edilmesi gerekiyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
403,Yöneticimden yazılı geri bildirim talep ediyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
404,"İş telefonumun hattı arızalı, yenisi gerekiyor.",Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Orta
405,Burak Bey için şirket telefonu talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Düşük
406,Silinen dosyalarımın yedekten geri yüklenmesi gerekiyor.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Yüksek
407,geçen hafta için ziyaretçi girişi talep ediyorum.,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
408,İnsan Kaynakları katı'daki tüm bilgisayarlarda CRM uygulaması güncellensin lütfen.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
409,Bu dönem hedeflerimin sisteme girilmesi gerekiyor.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Orta
410,Caner Bey için yeni bir klavye ve fare talebinde bulunuyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Düşük
411,3. kat temizliğinin yapılmasını rica ediyorum.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Orta
412,"Şirket aracında lastik patlaması oldu, acil destek gerekiyor.",İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Yüksek
413,"Hijyen malzemeleri stoku azaldı, tedarik rica ederim.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
414,CRM uygulaması için güncelleme talebinde bulunuyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
415,Zeynep Hanım için vejetaryen menü talep ediyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
416,"VPN istemcisi şifremi sıfırlamam gerekiyor, acil.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Orta
417,"Dosya sunucusuna erişemiyoruz, geçen hafta beri sorun var.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
418,Toplantı öncesi Ankara ofisi'un özel olarak temizlenmesini istiyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Yüksek
419,"İstifa dilekçemi iletmek istiyorum, süreç hakkında bilgi rica ederim.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Orta
420,Sunucu kaynakları yetersiz kalıyor gibi görünüyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Orta
421,"Tavan sızıntısı var, acil kontrol edilmesi gerekiyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Yüksek
422,Ofisimizde genel temizlik ihtiyacı var.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Orta
423,Başvuran adayların mülakat sürecini planlamak istiyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Düşük
424,İzmir şubesi için kırtasiye malzemesi talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
425,dün için ziyaretçi girişi talep ediyorum.,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
426,geçen hafta için ziyaretçi girişi talep ediyorum.,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
427,Deniz Hanım için performans görüşmesi planlanmasını rica ediyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Düşük
428,"Emre Bey'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Orta
429,Caner Bey için yeni bir sistem hesabı açılmasını rica ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
430,"Satış ofisi'da Wi-Fi sinyali çok zayıf, kontrol edilebilir mi?",Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Düşük
431,"Şifremi unuttum, sıfırlanmasını rica ediyorum.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Yüksek
432,Hakan Bey için çıkış işlemlerinin başlatılmasını istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
433,Misafir Wi-Fi ağına erişim talep ediyorum.,Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Orta
434,2. kat toplantı salonu sunucusu için yedekleme planı oluşturulmasını istiyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Orta
435,"MS Teams sürekli çöküyor, destek rica ediyorum.",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Orta
436,bu sabah saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
437,Ali Bey için hizmet belgesi çıkarılmasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Orta
438,"İnsan Kaynakları katı'daki yazıcı çalışmıyor, kağıt sıkışması var.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
439,Kartuş değişimi için talep açmak istiyorum.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Orta
440,"İzin tarihimi değiştirmek istiyorum, uygun müsaitlik var mı?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Orta
441,Yeni işe başlayan personel için e-posta hesabı talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
442,Aday hakkında önceki işyerinden referans teyidi istiyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
443,Departmanımıza bir uzman alımı için talep oluşturuyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
444,Sunucu kaynakları yetersiz kalıyor gibi görünüyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Orta
445,"İK ofisi sunucusu yanıt vermiyor, acil kontrol gerekiyor.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
446,Kartuş değişimi için talep açmak istiyorum.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Orta
447,"Muhasebe birimi'da Wi-Fi sinyali çok zayıf, kontrol edilebilir mi?",Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Düşük
448,"Yeni bir MS Teams lisansına ihtiyacım var, talep açabilir misiniz?",Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Orta
449,Projemiz için 2 adet ek bilgisayar temin edilebilir mi?,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Düşük
450,Yeni işe başlayan arkadaşımız için dizüstü bilgisayar talep ediyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Orta
451,"Fazla mesai ücretim bordroma yansımamış, kontrol edilebilir mi?",İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Yüksek
452,Deniz Hanım için ERP sistemi kurulumu talep ediyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Orta
453,İK ofisi için servis saatleri hakkında bilgi almak istiyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Orta
454,SAP güncel sürümüne geçmek istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
455,"Dosya sunucusuna erişemiyoruz, dün beri sorun var.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
456,Departmanımıza bir uzman alımı için talep oluşturuyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Orta
457,Deniz Hanım hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
458,Muhasebe birimi sunucusu için yedekleme planı oluşturulmasını istiyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Yüksek
459,"Mükremin Bey'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Orta
460,Burak Bey müşteri ziyareti için araç tahsisi istiyor.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Orta
461,Mehmet Bey ile birlikte hedef belirleme toplantısı planlamak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Düşük
462,"Sistem geneli çok yavaş çalışıyor, bu sabah beri.",Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
463,"Telefonumda ses gelmiyor, arıza kaydı açmak istiyorum.",Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
464,Katıldığım eğitimin sertifikasını talep ediyorum.,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
465,"Depo'daki yazıcının toneri bitti, yenisi gerekiyor.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Orta
466,Saha çalışması için bir araca ihtiyacımız var.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Düşük
467,Ahmet Bey'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
468,Ofisimizde genel temizlik ihtiyacı var.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Orta
469,Merve Hanım için çıkış işlemlerinin başlatılmasını istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Orta
470,"Ağ yazıcısına bağlanamıyorum, kurulum desteği rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Orta
471,Ayşe Hanım için referans kontrolü yapılmasını rica ediyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
472,"İş telefonumun hattı arızalı, yenisi gerekiyor.",Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Orta
473,"Ağ yazıcısına bağlanamıyorum, kurulum desteği rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Düşük
474,"el terminalim sürekli donuyor, bu ay içinde beri böyle.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Yüksek
475,"RAM yetersiz kalıyor, tabletim için yükseltme talep ediyorum.",Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Orta
476,Emre Bey için performans görüşmesi planlanmasını rica ediyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Düşük
477,SAP güncel sürümüne geçmek istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
478,Bilgisayarıma yeni yazıcı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Düşük
479,Ahmet Bey için unvan değişikliği talep ediyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
480,"Hijyen malzemeleri stoku azaldı, tedarik rica ederim.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
481,Muhasebe birimi temizliğinin yapılmasını rica ediyorum.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Orta
482,"yazıcım çok yavaş açılıyor, kontrol edilmesini rica ediyorum.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Yüksek
483,İkametgah için işyerinden yazı almam gerekiyor.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Düşük
484,Yeni ekipman alımı için satınalma onayı bekliyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
485,"Muhasebe birimi için ek personel ihtiyacımız var, ilan açılabilir mi?",İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
486,Su baskını sonrası acil temizlik talep ediyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Yüksek
487,Su baskını sonrası acil temizlik talep ediyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Orta
488,"SSD değişimi için talep açmak istiyorum, dokunmatik ekranım çok yavaş.",Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Düşük
489,"Depo için ek personel ihtiyacımız var, ilan açılabilir mi?",İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Orta
490,"İK ofisi'daki klima çalışmıyor, çok sıcak/soğuk oluyor.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Yüksek
491,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Orta
492,Glutensiz menü talebinde bulunmak istiyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
493,Bu ayki maaşımda bir eksik ödeme fark ettim.,İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Yüksek
494,Genel Müdürlük sunucusu için yedekleme planı oluşturulmasını istiyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Orta
495,Performans değerlendirme dönemim hakkında bilgi almak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Düşük
496,Silinen dosyalarımın yedekten geri yüklenmesi gerekiyor.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Yüksek
497,Bu dönemki eğitim takvimi hakkında bilgi almak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
498,İzmir şubesi'daki sabit telefon hattı çalışmıyor.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
499,bu sabah için şirket aracı talep ediyorum.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Düşük
500,Fatma Hanım için hizmet belgesi çıkarılmasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Düşük
501,Bilgisayarıma yeni yazıcı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Düşük
502,Deniz Hanım için referans kontrolü yapılmasını rica ediyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
503,"İzmir şubesi'da internet bağlantısı kesik, yarından itibaren beri.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Kritik
504,"Giriş kartımı kaybettim, yenisinin çıkarılmasını rica ediyorum.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Orta
505,Gökhan Bey için ofis koltuğu değişimi rica ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Orta
506,az önce için ziyaretçi girişi talep ediyorum.,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Orta
507,Hakan Bey için vejetaryen menü talep ediyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
508,ITSM portalı sistemine erişim yetkisi talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Orta
509,Excel sistemine erişim yetkisi talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Orta
510,Zeynep Hanım için vejetaryen menü talep ediyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
511,Ali Bey için vejetaryen menü talep ediyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
512,"Şirket aracında lastik patlaması oldu, acil destek gerekiyor.",İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Kritik
513,"Yeni bir bordro yazılımı lisansına ihtiyacım var, talep açabilir misiniz?",Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Orta
514,VPN istemcisi güncel sürümüne geçmek istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Düşük
515,Ofisimizde genel temizlik ihtiyacı var.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Orta
516,Ali Bey için ofis koltuğu değişimi rica ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
517,Bilgisayarıma yeni yazıcı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Düşük
518,"Yeni bir MS Teams lisansına ihtiyacım var, talep açabilir misiniz?",Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Düşük
519,"Emre Bey izin gününü ertelemek istiyor, işlem yapılabilir mi?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Düşük
520,Glutensiz menü talebinde bulunmak istiyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
521,Performans değerlendirme dönemim hakkında bilgi almak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Orta
522,Hakan Bey ile birlikte hedef belirleme toplantısı planlamak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Orta
523,İnsan Kaynakları katı'daki sabit telefon hattı çalışmıyor.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
524,410 TL tutarındaki satınalma talebimin onaylanmasını rica ederim.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Orta
525,Yeni işe başlayan arkadaşımız için dizüstü bilgisayar talep ediyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Düşük
526,Çağrı merkezi temizliğinin yapılmasını rica ediyorum.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Orta
527,yarından itibaren için ziyaretçi girişi talep ediyorum.,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Orta
528,Fatma Hanım adlı misafirim için giriş izni oluşturur musunuz?,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
529,"Sağlık raporum var, sisteme işlenmesini rica ediyorum.",İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Orta
530,MS Teams için güncelleme talebinde bulunuyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Düşük
531,"İzin tarihimi değiştirmek istiyorum, uygun müsaitlik var mı?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Düşük
532,Mükremin Bey olarak VPN istemcisi kullanırken hata kodu alıyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Yüksek
533,Tuvalet kağıdı ve kağıt havlu talep ediyorum.,İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
534,Ayşe Hanım için mesleki gelişim eğitimi talep ediyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Orta
535,Ana bina'a yeni telefon hattı çekilmesini istiyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Orta
536,"VPN istemcisi lisansım süresi doldu, yenilenmesi gerekiyor.",Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Düşük
537,400 TL tutarındaki satınalma talebimin onaylanmasını rica ederim.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
538,Dosyalarımın yedeklenmesini talep ediyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Orta
539,"Tavan sızıntısı var, acil kontrol edilmesi gerekiyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
540,"2. kat toplantı salonu'da internet bağlantısı kesik, bu sabah beri.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Kritik
541,Sunucu kaynakları yetersiz kalıyor gibi görünüyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
542,Fatma Hanım servis güzergahının değiştirilmesini talep ediyor.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Orta
543,Emre Bey'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
544,Yeni personel için erişim kartı çıkarılması gerekiyor.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Düşük
545,Bu dönem hedeflerimin sisteme girilmesi gerekiyor.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Düşük
546,Departmanımıza bir uzman alımı için talep oluşturuyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
547,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
548,2. kat toplantı salonu'daki tüm bilgisayarlarda MS Teams güncellensin lütfen.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
549,Mükremin Bey için bordro yazılımı kurulumu talep ediyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Düşük
550,Dahili hattım geçen hafta beri kesik.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
551,Kocaeli fabrikası'a yeni telefon hattı çekilmesini istiyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Orta
552,"Hesabım kilitlendi, şifre sıfırlama talep ediyorum.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Yüksek
553,ITSM portalı sistemine erişim yetkisi talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Orta
554,"Sistem geneli çok yavaş çalışıyor, bu ay içinde beri.",Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
555,"muhasebe programı sürekli çöküyor, destek rica ediyorum.",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Orta
556,Saha çalışması için bir araca ihtiyacımız var.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Düşük
557,Dosyalarımın yedeklenmesini talep ediyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Yüksek
